Statistical profiling result from isolate-0x38c31a0-3528-v8.log, (19686 ticks, 6 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
      1  100.0%            LazyCompile: ~Module.runMain internal/modules/cjs/loader.js:1000:26
      1    2.3%      LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
      1  100.0%        LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
      1  100.0%          LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33
      1  100.0%            LazyCompile: ~Module._load internal/modules/cjs/loader.js:666:24
      1    2.3%      LazyCompile: ~Module internal/modules/cjs/loader.js:130:16
      1  100.0%        LazyCompile: ~Module._load internal/modules/cjs/loader.js:666:24
      1  100.0%          LazyCompile: ~Module.runMain internal/modules/cjs/loader.js:1000:26
      1  100.0%            Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      1    2.3%      LazyCompile: ~E internal/errors.js:276:11
      1  100.0%        Eval: ~<anonymous> internal/errors.js:1:1
      1  100.0%          LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:290:42
      1  100.0%            LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:183:29
      1    2.3%      Eval: ~<anonymous> internal/validators.js:1:1
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:290:42
      1  100.0%          LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:183:29
      1  100.0%            Eval: ~<anonymous> buffer.js:1:1
      1    2.3%      Eval: ~<anonymous> internal/url.js:1:1
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:290:42
      1  100.0%          LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:183:29
      1  100.0%            Eval: ~<anonymous> internal/bootstrap/node.js:1:1
      1    2.3%      Eval: ~<anonymous> internal/streams/lazy_transform.js:1:1
      1  100.0%        LazyCompile: ~NativeModule.compile internal/bootstrap/loaders.js:290:42
      1  100.0%          LazyCompile: ~nativeModuleRequire internal/bootstrap/loaders.js:183:29
      1  100.0%            Eval: ~<anonymous> internal/crypto/cipher.js:1:1
      1    2.3%      Eval: ~<anonymous> internal/main/run_main_module.js:1:1
      1    2.3%      Eval: ~<anonymous> internal/bootstrap/loaders.js:1:1
      1    2.3%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
      1  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
      1  100.0%          LazyCompile: ~Module._extensions..js internal/modules/cjs/loader.js:954:37
      1  100.0%            LazyCompile: ~Module.load internal/modules/cjs/loader.js:790:33

    223    1.1%  int v8::(anonymous namespace)::WriteUtf8Impl<unsigned char>(v8::internal::Vector<unsigned char const>, char*, int, int, int*)
    223  100.0%    LazyCompile: *startCPUComsumedProcess /mnt/d/work/play/jsp/src/instancely.js:21:33
    223  100.0%      Eval: ~<anonymous> /mnt/d/work/play/jsp/src/instancely.js:1:1
    223  100.0%        LazyCompile: ~Module._compile internal/modules/cjs/loader.js:854:37
